producto,marca,sustancia_activa,categoria,ean,laboratorio,estatus
Intebro 30 tabletas caja piracetam 800.0 mg,INTEBRO,PIRACETAM,NEUROLOGÍA,8901120016266,ZYDUS,ACTIVO
Ocrix 50 tabletas 5 mg,OCRIX,GLIBENCLAMIDA,DIABETES,7501573910428,BIOMEP,ACTIVO
Septrin f 14 tabletas 160/800mg,SEPTRIN,"SULFAMETOXAZOL, TRIMETOPRIMA",INFECTOLOGÍA,7501046461488,ASPEN,ACTIVO
Nesajar 32 capsulas 300/100 mg,NESAJAR,"BROMURO DE PINAVERIO, DIMETICONA",GASTROENTEROLOGÍA,7502227426456,GELPHARMA,ACTIVO
Levonorgestrel 2 tabletas 0.75 mg,,LEVONORGESTREL,GINECOLOGÍA,7502216806467,ULTRA LABORATORIOS,ACTIVO
Lysomucil granulado 30 sobres 200mg,LYSOMUCIL,ACETILCISTEÍNA,NEUMOLOGÍA,7502209710115,LABORATORIOS CONCORDIA,ACTIVO
Artelac lipids md 10 mg 1 frasco gotas 10 ml,ARTELAC,CARBÓMERO,OFTALMOLOGÍA,4049649000695,BAUSCH & LOMB MEXICO,ACTIVO
PENISODINA BENCILPENICILINA 8000000UI FRASCO CON ÁMPULA,PENISODINA,BENCILPENICILINA PROCAÍNA,INFECTOLOGÍA,7501125192227,PISA,ACTIVO
Dexne oftalmico 1 gotero 500/100mg/4 ml,DEXNE,"DEXAMETASONA, NEOMICINA",OFTALMOLOGÍA,7502004401454,OFFENBACH,ACTIVO
Olaprexa 5 mg oral 14 tabletas,OLAPREXA,OLANZAPINA,NEUROLOGÍA,7503006916700,SUN PHARMA DE MEXICO S.A. DE,ACTIVO
Artelac solución 10 ml gotero hialuronato de sodio 2.4 mg,ARTELAC,HIALURONATO DE SODIO,OFTALMOLOGÍA,7501110500167,BAUSCH & LOMB MEXICO,ACTIVO
Gotinal infantil frasco atomizador 0.5mg/15ml,GOTINAL,NAFAZOLINA,ALERGOLOGÍA,7501088509919,CHINOIN,ACTIVO
"Diclofenaco, complejo b 30 tabletas",,"CIANOCOBALAMINA, DICLOFENACO, PIRIDOXINA, TIAMINA",ANALGÉSICOS,7502216790865,ULTRA LABORATORIOS,ACTIVO
Solución cs pisa 1000ml,PISA,CLORURO DE SODIO,SOLUCIONES HOSPITALARIAS,7501125100130,PISA,ACTIVO
Clopidogrel 14 tabletas 75 mg,,CLOPIDOGREL,HEMATOLOGÍA,7502216797079,ULTRA LABORATORIOS,ACTIVO
Tiarotec 20 tabletas 5 mg,TIAROTEC,TIAMAZOL,ENDOCRINOLOGÍA,7501471888393,TECNOFARMA,ACTIVO
Losil c crema 1% tubo 20g,LOSIL C,TERBINAFINA,ANTIMICÓTICOS,7503003134169,ALPHARMA,ACTIVO
Senociclin balsamico adulto ampolleta,SENOCICLIN,TETRACICLINA,NEUMOLOGÍA,7501314702114,LABORATORIOS SENOSIAIN S.A. DE,ACTIVO
Rapix 30mg/2ml ampolleta 3,RAPIX,KETOROLACO,NEUROLOGÍA,7501314703814,LABORATORIOS SENOSIAIN S.A. DE,ACTIVO
Mavicam 10 tabletas 15 mg,MAVICAM,MELOXICAM,REUMATOLOGÍA,785120754087,MAVI FARMACEUTICA,ACTIVO
Neurontin 400 mg oral 30 capsulas,NEURONTIN,GABAPENTINA,NEUROLOGÍA,7501287652720,VIATRIS HEALTHCARE MEXICO S DE RL DE CV,ACTIVO
Arfla 28 tabletas 200mg,ARFLA,RIFAXIMINA,GASTROENTEROLOGÍA,7501314702756,LABORATORIOS SENOSIAIN S.A. DE,ACTIVO
